1979	1
1980	0
1981	0
1982	0
1983	1
1984	1
1985	2
1986	1
1987	3
1988	3
1989	3
1990	3
1991	2
1992	0
1993	3
1994	4
1995	1
1996	2
1997	3
1998	2
1999	3
2000	5
2001	2
2002	2
2003	3
2004	2
2005	0
2006	3
2007	0
2008	2
2009	0
2010	2
2011	1
2012	1
2013	0
2014	6
2015	1
2016	1
2017	0
2018	2
2019	4
2020	1
2021	3
2022	0
2023	2
2024	3
2025	1
2026	4
